MUTATO_KOD;MUTATO_FOCSOP_MEGNEV;MUTATO_MEGNEV
TYWS002;Foglalkoztatás, munkanélküliség;A 15–64 éves népesség munkanélküliségi rátája
TYWS001;Foglalkoztatás, munkanélküliség;A 15–64 éves népesség foglalkoztatási rátája
TYWG006;Lakásállomány, -építés, -megszűnés, -árak;Átlagos lakásalapterület
TYWG008;Lakásállomány, -építés, -megszűnés, -árak;1 szobás lakások aránya
TYWG009;Lakásállomány, -építés, -megszűnés, -árak;2 szobás lakások aránya
TYWG010;Lakásállomány, -építés, -megszűnés, -árak;3– és több szobás lakások aránya
TYWF003;Kereskedelem, vendéglátás, turizmus;A kiskereskedelmi üzletek egy üzletre jutó forgalma
TYWN001;Keresetek;Teljes munkaidőben alkalmazásban állók bruttó átlagkeresete munkáltató székhelye szerint
TYWN002;Keresetek;Teljes munkaidőben alkalmazásban álló fizikai foglalkozásúak bruttó átlagkeresete munkáltató székhelye szerint
TYWN003;Keresetek;Teljes munkaidőben alkalmazásban álló szellemi foglalkozásúak bruttó átlagkereset munkáltató székhelye szerint
TYWN004;Keresetek;Teljes munkaidőben alkalmazásban állók nettó átlagkeresete  munkáltató székhelye szerint
TYWN005;Keresetek;Teljes munkaidőben alkalmazásban állók bruttó átlagkeresete munkavállalók lakcíme szerint
TYWJ006;Egészségügy, szociális ellátás;Egy gyógyszertárra jutó lakosok száma
TYWT001;Üres álláshelyek;Üres álláshelyek száma
TYWT002;Üres álláshelyek;Üres álláshelyek aránya az összes álláshelyhez viszonyítva
TYWJ104;Egészségügy, szociális ellátás;Az ezer azonos korú lakosra jutó védelembe vett kiskorúak száma
TYWC002;Vándorlás;A Magyarországon tartózkodó külföldi állampolgárok ezer lakosra jutó aránya
TYWC003;Vándorlás;A Magyarországra bevándorló külföldi állampolgárok ezer lakosra jutó aránya
TYWC004;Vándorlás;A Magyarországról kivándorló külföldi állampolgárok ezer lakosra jutó aránya
TYWC005;Vándorlás;A kivándorló magyar állampolgárok ezer lakosra jutó aránya
TYWC006;Vándorlás;A Magyarországon született visszavándorló magyar állampolgárok ezer lakosra jutó aránya
TYWC007;Vándorlás;Állandó belföldi vándorlási különbözet ezer lakosra
TYWC008;Vándorlás;Ideiglenes belföldi vándorlási különbözet ezer lakosra
TYWC009;Vándorlás;A Magyarországon állampolgárságot kapott személyek ezer lakosra jutó aránya
TYWC010;Vándorlás;A külföldön született magyar állampolgárok ezer lakosra jutó aránya
TYWR001;Posta, távközlés, gépjármű-állomány;Személygépkocsi ezer lakosra
TYWP003;Gazdasági szervezetek;Társas vállalkozások aránya a működő vállalkozásokon belül
TYWP004;Gazdasági szervezetek;Mikrovállalkozások aránya a működő vállalkozásokon belül
TYWP005;Gazdasági szervezetek;Kisvállalkozások aránya a működő vállalkozásokon belül
TYWP006;Gazdasági szervezetek;Középvállalkozások aránya a működő vállalkozásokon belül
TYWP007;Gazdasági szervezetek;Mezőgazdasági tevékenységben működő vállalkozások aránya a működő vállalkozásokon belül
TYWP008;Gazdasági szervezetek;Ipari tevékenységben működő vállalkozások aránya a működő vállalkozásokon belül
TYWP009;Gazdasági szervezetek;Építőipari tevékenységben működő vállalkozások aránya a működő vállalkozásokon belül
TYWP010;Gazdasági szervezetek;Kereskedelmi tevékenységben működő vállalkozások aránya a működő vállalkozásokon belül
TYWP011;Gazdasági szervezetek;Szakmai, tudományos tevékenységben működő vállalkozások aránya a működő vállalkozásokon belül
TYWP012;Gazdasági szervezetek;Ingatlanügyletek tevékenységben működő vállalkozások aránya a működő vállalkozásokon belül
TYWJ001;Egészségügy, szociális ellátás;Egy háziorvosra jutó évi betegforgalom
TYWJ002;Egészségügy, szociális ellátás;Egy házi gyermekorvosra jutó évi betegforgalom
TYWA202;Terület, továbbvezetett lakónépesség;Férfiak átlagos életkora, december 31-én
TYWA203;Terület, továbbvezetett lakónépesség;Nők átlagos életkora, december 31-én
TYWB003;Népmozgalom;Teljes termékenységi arányszám
TYWB202;Népmozgalom;A férfiak születéskor várható élettartama 
TYWB203;Népmozgalom;A nők születéskor várható élettartama 
TYWG005;Lakásállomány, -építés, -megszűnés, -árak;Száz lakásra jutó szoba
TYWJ009;Egészségügy, szociális ellátás;A kórházi ápolás átlagos tartama
TYWJ109;Egészségügy, szociális ellátás;Házi segítségnyújtást helyben biztosító települések aránya
TYWJ110;Egészségügy, szociális ellátás;Szociális étkeztetést helyben biztosító települések aránya
TYWF002;Kereskedelem, vendéglátás, turizmus;A kiskereskedelmi üzletek egy főre jutó forgalma
TYWF001;Kereskedelem, vendéglátás, turizmus;Kiskereskedelmi üzlet tízezer lakosra
TYWF103;Kereskedelem, vendéglátás, turizmus;Tíz ezer főre jutó vendéglátó helyek száma
TYWJ112;Egészségügy, szociális ellátás;Tízezer 65 éven felüli lakosra jutó idősotthoni férőhely
TYWC001;Vándorlás;Összes belföldi vándorlási különbözet ezer lakosra
TYWP001;Gazdasági szervezetek;Ezer lakosra jutó működő vállalkozások száma
TYWP002;Gazdasági szervezetek;Egyéni Önálló vállalkozók aránya a működő vállalkozásokon belül
TYWF104;Kereskedelem, vendéglátás, turizmus;Ezer lakosra jutó vendégek száma a kereskedelmi szálláshelyeken
TYWF105;Kereskedelem, vendéglátás, turizmus;Ezer lakosra jutó vendégéjszakák száma a kereskedelmi szálláshelyeken
TYWF106;Kereskedelem, vendéglátás, turizmus;Ezer lakosra jutó vendégek száma a turisztikai szálláshelyeken
TYWF107;Kereskedelem, vendéglátás, turizmus;Ezer lakosra jutó vendégéjszakák száma a turisztikai szálláshelyeken
TYWF108;Kereskedelem, vendéglátás, turizmus;Tízezer lakosra jutó férőhelyek száma a kereskedelmi szálláshelyeken
TYWF109;Kereskedelem, vendéglátás, turizmus;Tízezer lakosra jutó férőhelyek száma a turisztikai szálláshelyeken
TYWG001;Lakásállomány, -építés, -megszűnés, -árak;Lakásállomány ezer lakosra
TYWG002;Lakásállomány, -építés, -megszűnés, -árak;Száz lakásra jutó lakos
TYWG004;Lakásállomány, -építés, -megszűnés, -árak;Ezer lakóra jutó lakásépítési engedélyek és bejelentések
TYWG101;Lakásállomány, -építés, -megszűnés, -árak;Épített lakás tízezer lakosra
TYWJ004;Egészségügy, szociális ellátás;Tízezer lakosra jutó működő kórházi ágyak száma
TYWJ010;Egészségügy, szociális ellátás;Száz lakosra jutó elbocsátott, kiírt kórházi betegek száma
TYWJ113;Egészségügy, szociális ellátás;Tízezer lakosra jutó egynapos ellátási esetek száma
TYWV002;Ipar;Telephely szerinti ipari termelési volumenindex (4 fő felett)
TYWJ003;Egészségügy, szociális ellátás;A járóbeteg-szakellátás száz lakosra jutó megjelenési esetszáma
TYWJ007;Egészségügy, szociális ellátás;A járóbeteg-szakellátás száz lakosra jutó beavatkozási esetszáma 
