NEV;VALUE;M_KOD;VON_IDO
Nemescsó;4,03225806;TYWG008;2024
Nemescsó;23,38709677;TYWG009;2024
Nemescsó;72,58064516;TYWG010;2024
Kecskemét;12,84502588;TYWG008;2024
Kecskemét;35,80182576;TYWG009;2024
Kecskemét;51,35314836;TYWG010;2024
Rábagyarmat;3,02013423;TYWG008;2024
Rábagyarmat;19,46308725;TYWG009;2024
Rábagyarmat;77,51677852;TYWG010;2024
Csikóstőttős;3,67231638;TYWG008;2024
Csikóstőttős;23,44632768;TYWG009;2024
Csikóstőttős;72,88135593;TYWG010;2024
Újrónafő;4,87804878;TYWG008;2024
Újrónafő;22,86585366;TYWG009;2024
Újrónafő;72,25609756;TYWG010;2024
Matty;3,57142857;TYWG008;2024
Matty;31,42857143;TYWG009;2024
Matty;65;TYWG010;2024
Erdőtarcsa;4,34782609;TYWG008;2024
Erdőtarcsa;32,17391304;TYWG009;2024
Erdőtarcsa;63,47826087;TYWG010;2024
Ravazd;6,98151951;TYWG008;2024
Ravazd;27,10472279;TYWG009;2024
Ravazd;65,9137577;TYWG010;2024
Somberek;0,77220077;TYWG008;2024
Somberek;5,98455598;TYWG009;2024
Somberek;93,24324324;TYWG010;2024
Hangony;4,73684211;TYWG008;2024
Hangony;23,33333333;TYWG009;2024
Hangony;71,92982456;TYWG010;2024
Sarkadkeresztúr;9,19842313;TYWG008;2024
Sarkadkeresztúr;43,36399474;TYWG009;2024
Sarkadkeresztúr;47,43758213;TYWG010;2024
Maróc;40;TYWG009;2024
Maróc;51,42857143;TYWG010;2024
Csopak;4,60869565;TYWG008;2024
Csopak;16,60869565;TYWG009;2024
Csopak;78,7826087;TYWG010;2024
Egyed;3,49344978;TYWG008;2024
Egyed;22,70742358;TYWG009;2024
Egyed;73,79912664;TYWG010;2024
Előszállás;5,59662091;TYWG008;2024
Előszállás;32,10137276;TYWG009;2024
Előszállás;62,30200634;TYWG010;2024
Orbányosfa;3,44827586;TYWG008;2024
Orbányosfa;24,13793103;TYWG009;2024
Orbányosfa;72,4137931;TYWG010;2024
Laskod;10,52631579;TYWG008;2024
Laskod;29,21052632;TYWG009;2024
Laskod;60,26315789;TYWG010;2024
Szomor;3,93120393;TYWG008;2024
Szomor;15,72481572;TYWG009;2024
Szomor;80,34398034;TYWG010;2024
Nagyberki;2,17391304;TYWG008;2024
Nagyberki;17,19367589;TYWG009;2024
Nagyberki;80,63241107;TYWG010;2024
Csókakő;4,82115086;TYWG008;2024
Csókakő;19,75116641;TYWG009;2024
Csókakő;75,42768274;TYWG010;2024
Bakonyszombathely;7,3089701;TYWG008;2024
Bakonyszombathely;22,75747508;TYWG009;2024
Bakonyszombathely;69,93355482;TYWG010;2024
Bakonyszentkirály;5,46875;TYWG008;2024
Bakonyszentkirály;32,29166667;TYWG009;2024
Bakonyszentkirály;62,23958333;TYWG010;2024
Felsőszölnök;5,90163934;TYWG008;2024
Felsőszölnök;20,98360656;TYWG009;2024
Felsőszölnök;73,1147541;TYWG010;2024
Tarnaméra;3,0428769;TYWG008;2024
Tarnaméra;26,83264177;TYWG009;2024
Tarnaméra;70,12448133;TYWG010;2024
Újiráz;18,28793774;TYWG008;2024
Újiráz;36,57587549;TYWG009;2024
Újiráz;45,13618677;TYWG010;2024
Sárrétudvari;7,61506276;TYWG008;2024
Sárrétudvari;31,0460251;TYWG009;2024
Sárrétudvari;61,33891213;TYWG010;2024
Gencsapáti;1,53846154;TYWG008;2024
Gencsapáti;10,25641026;TYWG009;2024
Gencsapáti;88,20512821;TYWG010;2024
Zalabér;5,9347181;TYWG008;2024
Zalabér;24,92581602;TYWG009;2024
Zalabér;69,13946588;TYWG010;2024
Mikebuda;12,4600639;TYWG008;2024
Mikebuda;29,07348243;TYWG009;2024
Mikebuda;58,46645367;TYWG010;2024
Mezőzombor;4,29594272;TYWG008;2024
Mezőzombor;30,90692124;TYWG009;2024
Mezőzombor;64,79713604;TYWG010;2024
Kistormás;6,34920635;TYWG008;2024
Kistormás;30,95238095;TYWG009;2024
Kistormás;62,6984127;TYWG010;2024
Héhalom;4,72636816;TYWG008;2024
Héhalom;29,60199005;TYWG009;2024
Héhalom;65,67164179;TYWG010;2024
Tiszakerecseny;5,34759358;TYWG008;2024
Tiszakerecseny;43,85026738;TYWG009;2024
Tiszakerecseny;50,80213904;TYWG010;2024
Kecskéd;1,98412698;TYWG008;2024
Kecskéd;13,49206349;TYWG009;2024
Kecskéd;84,52380952;TYWG010;2024
Gelénes;8,01687764;TYWG008;2024
Gelénes;41,35021097;TYWG009;2024
Gelénes;50,63291139;TYWG010;2024
Balatonszárszó;2,43445693;TYWG008;2024
Balatonszárszó;12,45318352;TYWG009;2024
Balatonszárszó;85,11235955;TYWG010;2024
Hernádszurdok;1,07526882;TYWG008;2024
Hernádszurdok;15,05376344;TYWG009;2024
Hernádszurdok;83,87096774;TYWG010;2024
Bénye;4,41458733;TYWG008;2024
Bénye;23,6084453;TYWG009;2024
Bénye;71,97696737;TYWG010;2024
Kemendollár;8,17307692;TYWG008;2024
Kemendollár;26,92307692;TYWG009;2024
Kemendollár;64,90384615;TYWG010;2024
Németfalu;7,04225352;TYWG008;2024
Németfalu;32,3943662;TYWG009;2024
Németfalu;60,56338028;TYWG010;2024
Trizs;2,91262136;TYWG008;2024
Trizs;29,12621359;TYWG009;2024
Trizs;67,96116505;TYWG010;2024
Karád;5,52147239;TYWG008;2024
